IMEI,CO2,温度,湿度,取得時間
357864098056037,517,11.6,42.6,2022-02-01 05:15
357864098056037,514,11.6,42.6,2022-02-01 05:20
357864098056037,515,11.6,42.6,2022-02-01 05:25
357864098056037,515,11.6,42.6,2022-02-01 05:30
357864098056037,518,11.6,42.6,2022-02-01 05:35
357864098056037,517,11.6,42.5,2022-02-01 05:40
357864098056037,515,11.6,42.6,2022-02-01 05:45
357864098056037,516,11.6,42.6,2022-02-01 05:50
357864098056037,516,11.6,42.6,2022-02-01 05:55
357864098056037,520,11.6,42.6,2022-02-01 06:01
357864098056037,518,11.6,42.6,2022-02-01 06:06
357864098056037,515,11.6,42.6,2022-02-01 06:11
357864098056037,511,11.5,42.7,2022-02-01 06:16
357864098056037,509,11.5,42.7,2022-02-01 06:21
357864098056037,504,11.4,42.6,2022-02-01 06:26
357864098056037,504,11.4,42.7,2022-02-01 06:31
357864098056037,500,11.4,42.6,2022-02-01 06:36
357864098056037,497,11.4,42.8,2022-02-01 06:41
357864098056037,493,11.4,42.6,2022-02-01 06:46
357864098056037,493,11.3,42.7,2022-02-01 06:51
357864098056037,493,11.3,42.6,2022-02-01 06:56
357864098056037,493,11.3,42.7,2022-02-01 07:01
357864098056037,491,11.3,42.5,2022-02-01 07:06
357864098056037,490,11.2,42.6,2022-02-01 07:11
357864098056037,490,11.2,42.6,2022-02-01 07:16
357864098056037,487,11.2,42.7,2022-02-01 07:21
357864098056037,490,11.2,42.6,2022-02-01 07:26
357864098056037,490,11.2,42.7,2022-02-01 07:31
357864098056037,488,11.2,42.7,2022-02-01 07:36
357864098056037,490,11.2,42.7,2022-02-01 07:41
357864098056037,488,11.2,42.8,2022-02-01 07:46
357864098056037,489,11.2,42.8,2022-02-01 07:51
357864098056037,490,11.2,42.9,2022-02-01 07:56
357864098056037,491,11.2,42.9,2022-02-01 08:01
357864098056037,491,11.2,43.0,2022-02-01 08:06
357864098056037,493,11.1,43.0,2022-02-01 08:11
357864098056037,492,11.2,43.0,2022-02-01 08:16
357864098056037,492,11.1,43.1,2022-02-01 08:21
357864098056037,493,11.1,43.2,2022-02-01 08:26
357864098056037,493,11.1,43.3,2022-02-01 08:31
357864098056037,496,11.1,43.5,2022-02-01 08:36
357864098056037,498,11.1,43.7,2022-02-01 08:41
357864098056037,498,11.1,44.0,2022-02-01 08:46
357864098056037,499,11.1,44.5,2022-02-01 08:51
357864098056037,497,11.1,44.8,2022-02-01 08:56
357864098056037,512,11.1,45.0,2022-02-01 09:01
357864098056037,519,11.1,45.4,2022-02-01 09:06
357864098056037,522,11.1,45.9,2022-02-01 09:11
357864098056037,524,11.1,46.2,2022-02-01 09:16
357864098056037,527,11.1,46.6,2022-02-01 09:21
357864098056037,530,11.1,47.0,2022-02-01 09:26
357864098056037,531,11.1,47.3,2022-02-01 09:31
357864098056037,532,11.2,47.5,2022-02-01 09:37
357864098056037,535,11.2,48.0,2022-02-01 09:42
357864098056037,536,11.2,48.3,2022-02-01 09:47
357864098056037,539,11.2,48.7,2022-02-01 09:52
357864098056037,541,11.2,48.9,2022-02-01 09:57
357864098056037,542,11.2,49.2,2022-02-01 10:02
357864098056037,545,11.2,49.7,2022-02-01 10:07
357864098056037,543,11.2,50.0,2022-02-01 10:12
357864098056037,543,11.2,50.1,2022-02-01 10:17
357864098056037,544,11.2,50.6,2022-02-01 10:22
357864098056037,547,11.2,50.6,2022-02-01 10:27
357864098056037,545,11.2,50.8,2022-02-01 10:32
357864098056037,540,11.2,51.1,2022-02-01 10:37
357864098056037,541,11.2,51.0,2022-02-01 10:42
357864098056037,541,11.2,51.5,2022-02-01 10:47
357864098056037,541,11.2,51.5,2022-02-01 10:52
357864098056037,542,11.2,51.9,2022-02-01 10:57
357864098056037,540,11.2,51.9,2022-02-01 11:02
357864098056037,541,11.2,52.0,2022-02-01 11:07
357864098056037,542,11.2,52.2,2022-02-01 11:12
357864098056037,543,11.2,52.3,2022-02-01 11:17
357864098056037,543,11.2,52.5,2022-02-01 11:22
357864098056037,543,11.2,52.4,2022-02-01 11:27
357864098056037,543,11.2,52.7,2022-02-01 11:32
357864098056037,546,11.2,53.0,2022-02-01 11:37
357864098056037,543,11.2,52.8,2022-02-01 11:42
357864098056037,542,11.3,52.7,2022-02-01 11:47
357864098056037,541,11.3,52.4,2022-02-01 11:52
357864098056037,541,11.3,52.3,2022-02-01 11:57
357864098056037,539,11.3,52.1,2022-02-01 12:02
357864098056037,535,11.3,51.7,2022-02-01 12:07
357864098056037,534,11.3,51.4,2022-02-01 12:12
357864098056037,532,11.3,51.1,2022-02-01 12:17
357864098056037,532,11.3,51.0,2022-02-01 12:22
357864098056037,531,11.3,50.8,2022-02-01 12:27
357864098056037,529,11.3,50.5,2022-02-01 12:32
357864098056037,528,11.3,50.5,2022-02-01 12:37
357864098056037,526,11.3,50.3,2022-02-01 12:42
357864098056037,526,11.4,50.1,2022-02-01 12:47
357864098056037,526,11.4,49.8,2022-02-01 12:52
357864098056037,526,11.4,49.8,2022-02-01 12:57
357864098056037,526,11.3,49.6,2022-02-01 13:02
357864098056037,523,11.3,49.4,2022-02-01 13:07
357864098056037,525,11.3,49.4,2022-02-01 13:12
357864098056037,524,11.3,49.3,2022-02-01 13:18
357864098056037,524,11.3,49.2,2022-02-01 13:23
357864098056037,523,11.4,49.1,2022-02-01 13:28
357864098056037,523,11.4,49.1,2022-02-01 13:33
357864098056037,523,11.3,49.2,2022-02-01 13:38
357864098056037,522,11.4,49.1,2022-02-01 13:43
357864098056037,524,11.4,49.1,2022-02-01 13:48
357864098056037,524,11.4,49.0,2022-02-01 13:53
357864098056037,523,11.4,48.9,2022-02-01 13:58
357864098056037,524,11.4,48.7,2022-02-01 14:03
357864098056037,523,11.4,48.4,2022-02-01 14:08
357864098056037,523,11.4,48.4,2022-02-01 14:13
357864098056037,523,11.4,48.2,2022-02-01 14:18
357864098056037,523,11.4,48.0,2022-02-01 14:23
357864098056037,526,11.4,47.9,2022-02-01 14:28
357864098056037,524,11.4,47.6,2022-02-01 14:33
357864098056037,525,11.4,47.4,2022-02-01 14:38
357864098056037,524,11.4,47.4,2022-02-01 14:43
357864098056037,526,11.4,47.2,2022-02-01 14:48
357864098056037,527,11.4,47.1,2022-02-01 14:53
357864098056037,524,11.4,47.0,2022-02-01 14:58
357864098056037,527,11.4,46.9,2022-02-01 15:03
357864098056037,525,11.4,46.8,2022-02-01 15:08
357864098056037,526,11.4,46.9,2022-02-01 15:13
357864098056037,527,11.4,46.7,2022-02-01 15:18
357864098056037,522,11.4,46.7,2022-02-01 15:23
357864098056037,525,11.4,46.7,2022-02-01 15:28
357864098056037,523,11.4,46.6,2022-02-01 15:33
357864098056037,525,11.4,46.5,2022-02-01 15:38
357864098056037,525,11.4,46.5,2022-02-01 15:43
357864098056037,523,11.4,46.5,2022-02-01 15:48
357864098056037,520,11.4,46.4,2022-02-01 15:53
357864098056037,523,11.4,46.5,2022-02-01 15:58
357864098056037,524,11.4,46.4,2022-02-01 16:03
357864098056037,524,11.4,46.4,2022-02-01 16:08
357864098056037,526,11.4,46.4,2022-02-01 16:13
357864098056037,525,11.4,46.4,2022-02-01 16:18
357864098056037,526,11.5,46.3,2022-02-01 16:23
357864098056037,530,11.4,46.3,2022-02-01 16:28
357864098056037,529,11.8,45.9,2022-02-01 16:33
357864098056037,514,12.3,44.7,2022-02-01 16:38
357864098056037,502,12.7,43.8,2022-02-01 16:43
357864098056037,485,13.0,42.6,2022-02-01 16:48
357864098056037,478,13.3,42.0,2022-02-01 16:54
357864098056037,468,13.6,41.4,2022-02-01 16:59
357864098056037,461,13.9,40.6,2022-02-01 17:04
357864098056037,459,14.1,40.3,2022-02-01 17:09
357864098056037,452,14.3,39.8,2022-02-01 17:14
357864098056037,450,14.6,39.4,2022-02-01 17:19
357864098056037,449,14.8,38.9,2022-02-01 17:24
357864098056037,448,14.9,38.6,2022-02-01 17:29
357864098056037,454,15.1,38.5,2022-02-01 17:34
357864098056037,465,15.4,38.7,2022-02-01 17:39
357864098056037,468,15.7,38.5,2022-02-01 17:44
357864098056037,473,15.9,38.4,2022-02-01 17:49
357864098056037,486,16.1,38.7,2022-02-01 17:54
357864098056037,517,16.4,38.9,2022-02-01 17:59
357864098056037,520,16.5,38.8,2022-02-01 18:04
357864098056037,519,16.7,38.7,2022-02-01 18:09
357864098056037,522,16.8,38.7,2022-02-01 18:14
357864098056037,527,16.9,38.7,2022-02-01 18:19
357864098056037,538,17.0,38.5,2022-02-01 18:24
357864098056037,554,17.1,38.5,2022-02-01 18:29
357864098056037,559,17.2,38.2,2022-02-01 18:34
357864098056037,570,17.2,38.3,2022-02-01 18:39
357864098056037,579,17.2,38.5,2022-02-01 18:44
357864098056037,576,17.0,38.4,2022-02-01 18:49
357864098056037,584,16.7,38.3,2022-02-01 18:54
357864098056037,577,16.4,38.3,2022-02-01 18:59
357864098056037,573,16.2,38.5,2022-02-01 19:04
357864098056037,572,15.9,38.9,2022-02-01 19:09
357864098056037,563,15.7,38.8,2022-02-01 19:14
357864098056037,563,15.5,39.1,2022-02-01 19:19
357864098056037,573,15.3,39.5,2022-02-01 19:24
357864098056037,574,15.1,39.8,2022-02-01 19:29
357864098056037,575,15.0,40.0,2022-02-01 19:34
357864098056037,577,14.9,40.1,2022-02-01 19:39
357864098056037,577,14.7,40.1,2022-02-01 19:44
357864098056037,577,14.6,40.2,2022-02-01 19:49
357864098056037,576,14.5,40.2,2022-02-01 19:54
357864098056037,573,14.4,40.3,2022-02-01 19:59
357864098056037,576,14.3,40.4,2022-02-01 20:04
357864098056037,577,14.2,40.5,2022-02-01 20:09
357864098056037,577,14.1,40.6,2022-02-01 20:14
357864098056037,583,14.0,40.8,2022-02-01 20:19
357864098056037,584,13.9,40.9,2022-02-01 20:24
357864098056037,585,13.9,40.9,2022-02-01 20:30
357864098056037,589,13.8,41.1,2022-02-01 20:35
357864098056037,586,13.7,41.0,2022-02-01 20:40
357864098056037,592,13.7,41.2,2022-02-01 20:45
357864098056037,594,13.6,41.2,2022-02-01 20:50
357864098056037,596,13.5,41.2,2022-02-01 20:55
357864098056037,596,13.5,41.3,2022-02-01 21:00
357864098056037,599,13.4,41.3,2022-02-01 21:05
357864098056037,599,13.3,41.4,2022-02-01 21:10
357864098056037,600,13.3,41.4,2022-02-01 21:15
357864098056037,600,13.2,41.5,2022-02-01 21:20
357864098056037,602,13.2,41.5,2022-02-01 21:25
357864098056037,602,13.2,41.5,2022-02-01 21:30
357864098056037,604,13.1,41.7,2022-02-01 21:35
357864098056037,604,13.1,41.7,2022-02-01 21:40
357864098056037,601,13.0,41.8,2022-02-01 21:45
357864098056037,602,13.0,41.8,2022-02-01 21:50
357864098056037,605,12.9,41.9,2022-02-01 21:55
357864098056037,602,12.9,41.9,2022-02-01 22:00
357864098056037,602,12.9,41.9,2022-02-01 22:05
357864098056037,600,12.9,41.9,2022-02-01 22:10
357864098056037,601,12.8,41.9,2022-02-01 22:15
357864098056037,600,12.8,42.0,2022-02-01 22:20
357864098056037,600,12.8,42.0,2022-02-01 22:25
357864098056037,600,12.7,42.1,2022-02-01 22:30
357864098056037,599,12.7,42.1,2022-02-01 22:35
357864098056037,596,12.7,42.2,2022-02-01 22:40
357864098056037,595,12.7,42.1,2022-02-01 22:45
357864098056037,596,12.6,42.2,2022-02-01 22:50
357864098056037,596,12.6,42.3,2022-02-01 22:55
357864098056037,594,12.6,42.2,2022-02-01 23:00
357864098056037,594,12.6,42.2,2022-02-01 23:05
357864098056037,592,12.6,42.2,2022-02-01 23:10
357864098056037,590,12.5,42.3,2022-02-01 23:15
357864098056037,588,12.5,42.2,2022-02-01 23:20
357864098056037,591,12.5,42.3,2022-02-01 23:25
357864098056037,590,12.5,42.3,2022-02-01 23:30
357864098056037,588,12.5,42.3,2022-02-01 23:35
357864098056037,585,12.4,42.3,2022-02-01 23:40
357864098056037,587,12.4,42.3,2022-02-01 23:45
357864098056037,584,12.4,42.2,2022-02-01 23:50
357864098056037,586,12.4,42.2,2022-02-01 23:55
357864098056037,584,12.4,42.3,2022-02-02 00:00
357864098056037,585,12.3,42.3,2022-02-02 00:06
357864098056037,582,12.3,42.3,2022-02-02 00:11
357864098056037,581,12.3,42.4,2022-02-02 00:16
357864098056037,581,12.3,42.3,2022-02-02 00:21
357864098056037,582,12.3,42.2,2022-02-02 00:26
357864098056037,580,12.3,42.3,2022-02-02 00:31
357864098056037,580,12.3,42.2,2022-02-02 00:36
357864098056037,581,12.3,42.2,2022-02-02 00:41
357864098056037,581,12.2,42.3,2022-02-02 00:46
357864098056037,580,12.2,42.2,2022-02-02 00:51
357864098056037,579,12.2,42.3,2022-02-02 00:56
357864098056037,579,12.2,42.2,2022-02-02 01:01
357864098056037,579,12.2,42.2,2022-02-02 01:06
357864098056037,578,12.2,42.2,2022-02-02 01:11
357864098056037,575,12.2,42.3,2022-02-02 01:16
357864098056037,577,12.2,42.3,2022-02-02 01:21
357864098056037,576,12.1,42.3,2022-02-02 01:26
357864098056037,574,12.2,42.3,2022-02-02 01:31
357864098056037,576,12.1,42.4,2022-02-02 01:36
357864098056037,574,12.1,42.4,2022-02-02 01:41
357864098056037,574,12.1,42.4,2022-02-02 01:46
357864098056037,573,12.1,42.4,2022-02-02 01:51
357864098056037,570,12.1,42.5,2022-02-02 01:56
357864098056037,569,12.1,42.4,2022-02-02 02:01
357864098056037,569,12.1,42.4,2022-02-02 02:06
357864098056037,569,12.0,42.5,2022-02-02 02:11
357864098056037,569,12.1,42.4,2022-02-02 02:16
357864098056037,567,12.0,42.5,2022-02-02 02:21
357864098056037,567,12.0,42.4,2022-02-02 02:26
357864098056037,566,12.0,42.5,2022-02-02 02:31
357864098056037,567,12.0,42.4,2022-02-02 02:36
357864098056037,566,12.0,42.6,2022-02-02 02:41
357864098056037,565,12.0,42.5,2022-02-02 02:46
357864098056037,566,12.0,42.6,2022-02-02 02:51
357864098056037,565,11.9,42.6,2022-02-02 02:56
357864098056037,563,12.0,42.6,2022-02-02 03:01
357864098056037,564,11.9,42.6,2022-02-02 03:06
357864098056037,563,11.9,42.6,2022-02-02 03:11
357864098056037,559,11.9,42.7,2022-02-02 03:16
357864098056037,559,11.9,42.6,2022-02-02 03:21
357864098056037,560,11.9,42.6,2022-02-02 03:26
357864098056037,560,11.9,42.7,2022-02-02 03:31
357864098056037,559,11.9,42.6,2022-02-02 03:36
357864098056037,559,11.9,42.8,2022-02-02 03:42
357864098056037,559,11.8,42.7,2022-02-02 03:47
357864098056037,557,11.9,42.7,2022-02-02 03:52
357864098056037,558,11.9,42.6,2022-02-02 03:57
357864098056037,558,11.8,42.7,2022-02-02 04:02
357864098056037,556,11.8,42.8,2022-02-02 04:07
357864098056037,556,11.9,42.7,2022-02-02 04:12
357864098056037,554,11.8,42.7,2022-02-02 04:17
357864098056037,554,11.8,42.7,2022-02-02 04:22
357864098056037,555,11.8,42.8,2022-02-02 04:27
357864098056037,554,11.8,42.7,2022-02-02 04:32
357864098056037,555,11.8,42.8,2022-02-02 04:37
357864098056037,555,11.8,42.9,2022-02-02 04:42
357864098056037,554,11.8,42.8,2022-02-02 04:47
357864098056037,553,11.8,42.8,2022-02-02 04:52
357864098056037,553,11.8,42.8,2022-02-02 04:57
357864098056037,553,11.8,42.8,2022-02-02 05:02
357864098056037,552,11.8,42.9,2022-02-02 05:07
357864098056037,552,11.8,42.9,2022-02-02 05:12
357864098056037,553,11.8,42.9,2022-02-02 05:17
357864098056037,552,11.8,42.9,2022-02-02 05:22
357864098056037,551,11.8,42.9,2022-02-02 05:27
357864098056037,550,11.8,42.9,2022-02-02 05:32
357864098056037,550,11.7,42.8,2022-02-02 05:37
357864098056037,549,11.7,42.9,2022-02-02 05:42
357864098056037,548,11.7,43.0,2022-02-02 05:47
357864098056037,545,11.7,43.0,2022-02-02 05:52
357864098056037,546,11.7,42.9,2022-02-02 05:57
357864098056037,547,11.7,42.9,2022-02-02 06:02
357864098056037,548,11.7,42.9,2022-02-02 06:07
357864098056037,548,11.7,42.9,2022-02-02 06:12
357864098056037,546,11.7,43.0,2022-02-02 06:17
357864098056037,545,11.7,42.9,2022-02-02 06:22
357864098056037,544,11.6,42.9,2022-02-02 06:27
357864098056037,544,11.7,43.0,2022-02-02 06:32
357864098056037,543,11.6,43.0,2022-02-02 06:37
357864098056037,546,11.7,43.0,2022-02-02 06:42
357864098056037,542,11.6,43.0,2022-02-02 06:47
357864098056037,543,11.6,43.0,2022-02-02 06:52
357864098056037,543,11.6,43.0,2022-02-02 06:57
357864098056037,543,11.6,42.9,2022-02-02 07:02
357864098056037,543,11.6,43.0,2022-02-02 07:07
357864098056037,542,11.6,43.0,2022-02-02 07:12
357864098056037,544,11.6,43.0,2022-02-02 07:18
357864098056037,542,11.6,43.0,2022-02-02 07:23
357864098056037,541,11.6,43.0,2022-02-02 07:28
357864098056037,541,11.6,43.0,2022-02-02 07:33
357864098056037,540,11.6,43.0,2022-02-02 07:38
357864098056037,540,11.6,43.0,2022-02-02 07:43
357864098056037,542,11.6,43.0,2022-02-02 07:48
357864098056037,542,11.6,43.1,2022-02-02 07:53
357864098056037,542,11.6,43.0,2022-02-02 07:58
357864098056037,542,11.6,43.0,2022-02-02 08:03
357864098056037,546,11.6,43.0,2022-02-02 08:08
357864098056037,544,11.6,43.0,2022-02-02 08:13
357864098056037,543,11.6,43.0,2022-02-02 08:18
357864098056037,542,11.6,43.0,2022-02-02 08:23
357864098056037,543,11.6,43.0,2022-02-02 08:28
357864098056037,542,11.6,43.0,2022-02-02 08:33
357864098056037,541,11.6,43.1,2022-02-02 08:38
357864098056037,544,11.6,43.0,2022-02-02 08:43
357864098056037,543,11.6,43.1,2022-02-02 08:48
357864098056037,544,11.6,43.1,2022-02-02 08:53
357864098056037,544,11.6,43.1,2022-02-02 08:58
357864098056037,544,11.6,43.1,2022-02-02 09:03
357864098056037,542,11.6,43.1,2022-02-02 09:08
357864098056037,544,11.6,43.1,2022-02-02 09:13
357864098056037,541,11.6,43.2,2022-02-02 09:18
357864098056037,542,11.6,43.1,2022-02-02 09:23
357864098056037,540,11.6,43.2,2022-02-02 09:28
357864098056037,543,11.6,43.2,2022-02-02 09:33
357864098056037,543,11.6,43.2,2022-02-02 09:38
357864098056037,543,11.6,43.2,2022-02-02 09:43
357864098056037,543,11.6,43.3,2022-02-02 09:48
357864098056037,543,11.6,43.3,2022-02-02 09:53
357864098056037,544,11.6,43.4,2022-02-02 09:58
357864098056037,541,11.6,43.4,2022-02-02 10:03
357864098056037,541,11.6,43.3,2022-02-02 10:08
357864098056037,542,11.6,43.4,2022-02-02 10:13
357864098056037,543,11.6,43.4,2022-02-02 10:18
357864098056037,544,11.6,43.4,2022-02-02 10:23
357864098056037,543,11.6,43.4,2022-02-02 10:28
357864098056037,543,11.6,43.4,2022-02-02 10:33
357864098056037,544,11.6,43.3,2022-02-02 10:38
357864098056037,543,11.6,43.3,2022-02-02 10:43
357864098056037,544,11.6,43.4,2022-02-02 10:48
357864098056037,543,11.6,43.5,2022-02-02 10:53
357864098056037,545,11.6,43.5,2022-02-02 10:59
357864098056037,546,11.6,43.4,2022-02-02 11:04
357864098056037,543,11.6,43.4,2022-02-02 11:09
357864098056037,543,11.6,43.4,2022-02-02 11:14
357864098056037,545,11.6,43.5,2022-02-02 11:19
357864098056037,543,11.7,43.5,2022-02-02 11:24
357864098056037,545,11.7,43.4,2022-02-02 11:29
357864098056037,546,11.7,43.4,2022-02-02 11:34
357864098056037,546,11.7,43.5,2022-02-02 11:39
357864098056037,546,11.7,43.4,2022-02-02 11:44
357864098056037,546,11.7,43.3,2022-02-02 11:49
357864098056037,548,11.7,43.4,2022-02-02 11:54
357864098056037,547,11.7,43.4,2022-02-02 11:59
357864098056037,549,11.7,43.4,2022-02-02 12:04
357864098056037,546,11.7,43.4,2022-02-02 12:09
357864098056037,546,11.7,43.4,2022-02-02 12:14
357864098056037,547,11.7,43.4,2022-02-02 12:19
357864098056037,547,11.7,43.4,2022-02-02 12:24
357864098056037,548,11.7,43.5,2022-02-02 12:29
357864098056037,547,11.7,43.5,2022-02-02 12:34
357864098056037,545,11.7,43.5,2022-02-02 12:39
357864098056037,543,11.7,43.5,2022-02-02 12:44
357864098056037,545,11.7,43.6,2022-02-02 12:49
357864098056037,545,11.8,43.5,2022-02-02 12:54
357864098056037,547,11.7,43.5,2022-02-02 12:59
357864098056037,546,11.7,43.5,2022-02-02 13:04
357864098056037,547,11.7,43.6,2022-02-02 13:09
357864098056037,547,11.8,43.5,2022-02-02 13:14
357864098056037,545,11.8,43.5,2022-02-02 13:19
357864098056037,545,11.8,43.6,2022-02-02 13:24
357864098056037,545,11.8,43.6,2022-02-02 13:29
357864098056037,545,11.8,43.5,2022-02-02 13:34
357864098056037,546,11.8,43.6,2022-02-02 13:39
357864098056037,546,11.8,43.6,2022-02-02 13:44
357864098056037,546,11.8,43.6,2022-02-02 13:49
357864098056037,547,11.8,43.6,2022-02-02 13:54
357864098056037,547,11.8,43.7,2022-02-02 13:59
357864098056037,544,11.8,43.6,2022-02-02 14:04
357864098056037,546,11.8,43.6,2022-02-02 14:09
357864098056037,546,11.8,43.6,2022-02-02 14:14
357864098056037,546,11.8,43.7,2022-02-02 14:19
357864098056037,546,11.8,43.6,2022-02-02 14:24
357864098056037,548,11.8,43.7,2022-02-02 14:29
357864098056037,547,11.8,43.8,2022-02-02 14:35
357864098056037,546,11.8,43.8,2022-02-02 14:40
357864098056037,547,11.8,43.8,2022-02-02 14:45
357864098056037,546,11.8,43.7,2022-02-02 14:50
357864098056037,546,11.8,43.7,2022-02-02 14:55
357864098056037,547,11.9,43.7,2022-02-02 15:00
357864098056037,546,11.9,43.6,2022-02-02 15:05
357864098056037,547,11.8,43.7,2022-02-02 15:10
357864098056037,547,11.9,43.6,2022-02-02 15:15
357864098056037,544,11.9,43.7,2022-02-02 15:20
357864098056037,542,11.8,43.6,2022-02-02 15:25
357864098056037,547,11.8,43.8,2022-02-02 15:30
357864098056037,545,11.9,43.7,2022-02-02 15:35
357864098056037,546,11.9,43.7,2022-02-02 15:40
357864098056037,548,11.9,43.8,2022-02-02 15:45
357864098056037,546,11.8,43.6,2022-02-02 15:50
357864098056037,545,11.8,43.7,2022-02-02 15:55
357864098056037,546,11.8,43.8,2022-02-02 16:00
357864098056037,547,11.8,43.7,2022-02-02 16:05
357864098056037,545,11.8,43.7,2022-02-02 16:10
357864098056037,544,11.8,43.7,2022-02-02 16:15
357864098056037,545,11.8,43.7,2022-02-02 16:20
357864098056037,544,11.8,43.8,2022-02-02 16:25
357864098056037,543,11.8,43.8,2022-02-02 16:30
357864098056037,546,11.8,43.7,2022-02-02 16:35
357864098056037,546,11.9,43.7,2022-02-02 16:40
357864098056037,546,11.9,43.7,2022-02-02 16:45
357864098056037,546,11.9,43.8,2022-02-02 16:50
357864098056037,545,11.9,43.7,2022-02-02 16:55
357864098056037,544,11.8,43.7,2022-02-02 17:00
357864098056037,545,11.9,43.7,2022-02-02 17:05
357864098056037,545,11.9,43.8,2022-02-02 17:10
357864098056037,546,11.8,43.8,2022-02-02 17:15
357864098056037,547,11.8,43.7,2022-02-02 17:20
357864098056037,547,11.8,43.8,2022-02-02 17:25
357864098056037,548,11.9,43.8,2022-02-02 17:30
357864098056037,546,11.8,43.7,2022-02-02 17:35
357864098056037,545,11.9,43.8,2022-02-02 17:40
357864098056037,549,11.8,43.8,2022-02-02 17:45
357864098056037,544,11.8,43.8,2022-02-02 17:50
357864098056037,543,11.9,43.8,2022-02-02 17:55
357864098056037,544,11.8,43.8,2022-02-02 18:00
357864098056037,545,11.8,43.8,2022-02-02 18:06
357864098056037,545,11.8,43.8,2022-02-02 18:11
357864098056037,544,11.8,43.8,2022-02-02 18:16
357864098056037,544,11.8,43.7,2022-02-02 18:21
357864098056037,545,11.8,43.8,2022-02-02 18:26
357864098056037,547,11.8,43.9,2022-02-02 18:31
357864098056037,545,11.8,43.8,2022-02-02 18:36
357864098056037,546,11.8,43.8,2022-02-02 18:41
357864098056037,546,11.8,43.9,2022-02-02 18:46
357864098056037,547,11.8,43.9,2022-02-02 18:51
357864098056037,544,11.8,43.9,2022-02-02 18:56
357864098056037,544,11.8,43.9,2022-02-02 19:01
357864098056037,544,11.8,43.9,2022-02-02 19:06
357864098056037,544,11.8,43.8,2022-02-02 19:11
